title;price;link;img
EDITED;35.90 USD;https://www.zara.com/us/en/canvas-shopper-p16503010.html;https://static.zara.net/photos///2022/I/1/1/p/6503/010/050/22/w/563/6503010050_1_1_1.jpg?ts=1653474941173
EDITED;35.90 USD;https://www.zara.com/us/en/canvas-shopper-p16161710.html;https://static.zara.net/photos///2022/V/1/1/p/6162/710/032/2/w/563/6162710032_2_1_1.jpg?ts=1639586835016
KNIT TOP WITH FRONT TIES;29.90 USD;https://www.zara.com/us/en/knit-top-with-front-ties-p05802101.html;https://static.zara.net/photos///2022/I/0/1/p/5802/101/250/2/w/563/5802101250_1_1_1.jpg?ts=1653466591458
KNIT TOP WITH BUCKLE AND CUT-OUT DETAILS;27.90 USD;https://www.zara.com/us/en/knit-top-with-buckle-and-cut-out-details-p05802058.html;https://static.zara.net/photos///2022/V/0/1/p/5802/058/800/2/w/563/5802058800_1_1_1.jpg?ts=1653466614049
LONG KNIT DRESS;69.90 USD;https://www.zara.com/us/en/long-knit-dress-p08146002.html;https://static.zara.net/photos///2022/V/0/1/p/8146/002/800/2/w/563/8146002800_1_1_1.jpg?ts=1653466613804
COMBINATION KNIT TOP;29.90 USD;https://www.zara.com/us/en/combination-knit-top-p02893100.html;https://static.zara.net/photos///2022/I/0/1/p/2893/100/712/2/w/563/2893100712_1_1_1.jpg?ts=1653466591448
FLAT STRAPPY SANDALS;35.90 USD;https://www.zara.com/us/en/flat-strappy-sandals-p13619910.html;https://static.zara.net/photos///2022/I/1/1/p/3619/910/070/2/w/563/3619910070_1_1_1.jpg?ts=1653479155138
RUFFLED BODYSUIT;29.90 USD;https://www.zara.com/us/en/ruffled-bodysuit-p06050340.html;https://static.zara.net/photos///2022/I/0/1/p/6050/340/250/2/w/563/6050340250_15_1_1.jpg?ts=1653394761858
RUFFLED TOP;27.90 USD;https://www.zara.com/us/en/ruffled-top-p06050343.html;https://static.zara.net/photos///2022/I/0/1/p/6050/343/250/2/w/563/6050343250_15_1_1.jpg?ts=1653395124527
RUFFLED TOP;29.90 USD;https://www.zara.com/us/en/ruffled-top-p05584378.html;https://static.zara.net/photos///2022/I/0/1/p/5584/378/250/2/w/563/5584378250_15_1_1.jpg?ts=1653395158958
RUFFLED BODYSUIT;35.90 USD;https://www.zara.com/us/en/ruffled-bodysuit-p06050341.html;https://static.zara.net/photos///2022/I/0/1/p/6050/341/250/2/w/563/6050341250_15_1_1.jpg?ts=1653394908605
BUSTIER CROP TOP;29.90 USD;https://www.zara.com/us/en/bustier-crop-top-p00085427.html;https://static.zara.net/photos///2022/I/0/1/p/0085/427/251/2/w/563/0085427251_1_1_1.jpg?ts=1653392355883
DRESS WITH RIBBED TRIM;29.90 USD;https://www.zara.com/us/en/dress-with-ribbed-trim-p00085338.html;https://static.zara.net/photos///2022/I/0/1/p/0085/338/626/2/w/563/0085338626_1_1_1.jpg?ts=1653392354972
CURTAIN STYLE BIKINI BOTTOMS;27.90 USD;https://www.zara.com/us/en/curtain-style-bikini-bottoms-p00167002.html;https://static.zara.net/photos///2022/I/0/1/p/0167/002/250/2/w/563/0167002250_1_1_1.jpg?ts=1652958337408
INVERTED BIKINI TOP;29.90 USD;https://www.zara.com/us/en/inverted-bikini-top-p00167001.html;https://static.zara.net/photos///2022/I/0/1/p/0167/001/707/2/w/563/0167001707_1_1_1.jpg?ts=1653390145417
HIGH-WAISTED BIKINI BOTTOM;27.90 USD;https://www.zara.com/us/en/high-waisted-bikini-bottom-p00167210.html;https://static.zara.net/photos///2022/I/0/1/p/0167/210/800/2/w/563/0167210800_1_1_1.jpg?ts=1653390701486
DRAPED SWIMSUIT;47.90 USD;https://www.zara.com/us/en/draped-swimsuit-p02910209.html;https://static.zara.net/photos///2022/I/0/1/p/2910/209/500/2/w/563/2910209500_1_1_1.jpg?ts=1653316280312
LARGE RUFFLE SWIMSUIT;47.90 USD;https://www.zara.com/us/en/large-ruffle-swimsuit-p00167206.html;https://static.zara.net/photos///2022/I/0/1/p/0167/206/611/2/w/563/0167206611_1_1_1.jpg?ts=1652958309193
LARGE RUFFLE SWIMSUIT;47.90 USD;https://www.zara.com/us/en/large-ruffle-swimsuit-p00167208.html;https://static.zara.net/photos///2022/I/0/1/p/0167/208/671/2/w/563/0167208671_1_1_1.jpg?ts=1652958327466
PRINTED SUNSHADE;149.00 USD;https://www.zara.com/us/en/printed-sunshade-p00653045.html;https://static.zara.net/photos///2022/I/0/1/p/0653/045/681/2/w/563/0653045681_1_1_1.jpg?ts=1652976798328
CUT OUT SWIMSUIT;47.90 USD;https://www.zara.com/us/en/cut-out-swimsuit-p00167012.html;https://static.zara.net/photos///2022/I/0/1/p/0167/012/635/2/w/563/0167012635_1_1_1.jpg?ts=1652958330334
LARGE RUFFLE SWIMSUIT;47.90 USD;https://www.zara.com/us/en/large-ruffle-swimsuit-p00167207.html;https://static.zara.net/photos///2022/I/0/1/p/0167/207/250/23/w/563/0167207250_1_1_1.jpg?ts=1653464329503
CUT OUT SWIMSUIT;47.90 USD;https://www.zara.com/us/en/cut-out-swimsuit-p02910210.html;https://static.zara.net/photos///2022/I/0/1/p/2910/210/250/2/w/563/2910210250_1_1_1.jpg?ts=1653316262147
CROSS STRAP SWIMSUIT;47.90 USD;https://www.zara.com/us/en/cross-strap-swimsuit-p02910208.html;https://static.zara.net/photos///2022/I/0/1/p/2910/208/647/2/w/563/2910208647_1_1_1.jpg?ts=1653316265567
DRAPED WRAP DRESS;49.90 USD;https://www.zara.com/us/en/draped-wrap-dress-p07385376.html;https://static.zara.net/photos///2022/I/0/1/p/7385/376/615/2/w/563/7385376615_1_1_1.jpg?ts=1652192818703
FULL LENGTH SATIN EFFECT PANTS;49.90 USD;https://www.zara.com/us/en/full-length-satin-effect-pants-p03067496.html;https://static.zara.net/photos///2022/I/0/1/p/3067/496/800/12/w/563/3067496800_1_1_1.jpg?ts=1653466425912
FLORAL APPLIQUÃ‰ CROP TOP;59.90 USD;https://www.zara.com/us/en/floral-applique-crop-top-p07901104.html;https://static.zara.net/photos///2022/I/0/1/p/7901/104/800/2/w/563/7901104800_15_1_1.jpg?ts=1653488570306
SATIN EFFECT CUT OUT DRESS;45.90 USD;https://www.zara.com/us/en/satin-effect-cut-out-dress-p03067340.html;https://static.zara.net/photos///2022/V/0/1/p/3067/340/800/12/w/563/3067340800_1_1_1.jpg?ts=1653466414887
KNOTTED SATIN EFFECT TOP;35.90 USD;https://www.zara.com/us/en/knotted-satin-effect-top-p03067112.html;https://static.zara.net/photos///2022/I/0/1/p/3067/112/800/2/w/563/3067112800_1_1_1.jpg?ts=1653464612353
TEXTURED KNOT SHIRT;39.90 USD;https://www.zara.com/us/en/textured-knot-shirt-p03350395.html;https://static.zara.net/photos///2022/V/0/1/p/3350/395/250/12/w/563/3350395250_1_1_1.jpg?ts=1653466419096
SATIN EFFECT MINI SKIRT;39.90 USD;https://www.zara.com/us/en/satin-effect-mini-skirt-p03452802.html;https://static.zara.net/photos///2022/I/0/1/p/3452/802/800/12/w/563/3452802800_1_1_1.jpg?ts=1653466439416
SATIN EFFECT CUT OUT DRESS;59.90 USD;https://www.zara.com/us/en/satin-effect-cut-out-dress-p02662331.html;https://static.zara.net/photos///2022/V/0/1/p/2662/331/250/12/w/563/2662331250_1_1_1.jpg?ts=1653466414620
HEELED PLATFORM SHOES;119.00 USD;https://www.zara.com/us/en/heeled-platform-shoes-p11275910.html;https://static.zara.net/photos///2022/V/1/1/p/1275/910/040/2/w/563/1275910040_1_1_1.jpg?ts=1651579389259
HEELED PLATFORM SHOES;119.00 USD;https://www.zara.com/us/en/heeled-platform-shoes-p11276910.html;https://static.zara.net/photos///2022/I/1/1/p/1276/910/030/2/w/563/1276910030_1_1_1.jpg?ts=1651568779543
VOLUMINOUS PRINTED DRESS;79.90 USD;https://www.zara.com/us/en/voluminous-printed-dress-p02740232.html;https://static.zara.net/photos///2022/V/0/1/p/2740/232/330/2/w/563/2740232330_1_1_1.jpg?ts=1653318803761
ZW THE DREED FLARE RHINESTONE JEANS;69.90 USD;https://www.zara.com/us/en/zw-the-dreed-flare-rhinestone-jeans-p02553059.html;https://static.zara.net/photos///2022/I/0/1/p/2553/059/400/2/w/563/2553059400_2_1_1.jpg?ts=1653318728765
POCKET DENIM OVERSHIRT;49.90 USD;https://www.zara.com/us/en/pocket-denim-overshirt-p04877241.html;https://static.zara.net/photos///2022/I/0/1/p/4877/241/712/2/w/563/4877241712_2_6_1.jpg?ts=1653496363516
HIGH-WAISTED SHORTS;45.90 USD;https://www.zara.com/us/en/high-waisted-shorts-p02731053.html;https://static.zara.net/photos///2022/I/0/1/p/2731/053/800/2/w/563/2731053800_1_1_1.jpg?ts=1653318744511
DRAPED CROP TOP;45.90 USD;https://www.zara.com/us/en/draped-crop-top-p02143244.html;https://static.zara.net/photos///2022/I/0/1/p/2143/244/800/2/w/563/2143244800_2_1_1.jpg?ts=1653318729386
CHUNKY WEDGE SANDALS;49.90 USD;https://www.zara.com/us/en/chunky-wedge-sandals-p13312010.html;https://static.zara.net/photos///2022/I/1/1/p/3312/010/040/2/w/563/3312010040_1_1_1.jpg?ts=1652434012867
CHUNKY SATIN STRAP WEDGE SANDALS;89.90 USD;https://www.zara.com/us/en/chunky-satin-strap-wedge-sandals-p11315010.html;https://static.zara.net/photos///2022/I/1/1/p/1315/010/020/2/w/563/1315010020_1_1_1.jpg?ts=1652952502211
CHUNKY SATIN PLATFORM SANDALS;89.90 USD;https://www.zara.com/us/en/chunky-satin-platform-sandals-p11307010.html;https://static.zara.net/photos///2022/I/1/1/p/1307/011/060/2/w/563/1307011060_1_1_1.jpg?ts=1652952504560
SCARF PRINTED SHIRT;49.90 USD;https://www.zara.com/us/en/scarf-printed-shirt-p02510258.html;https://static.zara.net/photos///2022/V/0/1/p/2510/258/330/2/w/563/2510258330_1_1_1.jpg?ts=1653378883285
ANIMAL PRINT PALAZZO PANTS;49.90 USD;https://www.zara.com/us/en/animal-print-palazzo-pants-p07648638.html;https://static.zara.net/photos///2022/V/0/1/p/7648/638/085/2/w/563/7648638085_1_1_1.jpg?ts=1653378901458
